filename,language,character_count
211000492_ref2.txt,en,8319
211000493_ref1.txt,en,676759
211000494_ref1.txt,en,2145
211000494_ref2.txt,it,8664
211000496_ref1.txt,ja,9824
211000497_ref1.txt,en,6045
211000498_ref1.txt,en,4194
211000499_ref1.txt,en,301146
211000499_ref2.txt,en,41047
211000500_ref1.txt,en,587832
211000502_ref1.txt,en,8734
211000502_ref2.txt,en,5717
211000502_ref3.txt,en,1336
211000505_ref1.txt,en,199697
211000506_ref1.txt,en,2145
211000508_ref1.txt,en,489
211000509_ref1.txt,en,3613
211000510_ref1.txt,en,12705
211000512_ref1.txt,en,2801
211000513_ref1.txt,en,2145
211000514_ref1.txt,ru,38161
211000514_ref2.txt,en,2145
211000514_ref3.txt,en,3437
211000514_ref4.txt,en,5958
211000515_ref1.txt,en,113
211000516_ref1.txt,en,5219
211000517_ref1.txt,de,8694
211000518_ref1.txt,en,2145
211000519_ref1.txt,en,2145
211000522_ref1.txt,en,120158
211000525_ref1.txt,en,13537
211000527_ref1.txt,de,9684
211000529_ref1.txt,en,6884
211000530_ref1.txt,en,5002
211000531_ref1.txt,en,3290
211000532_ref1.txt,en,4015
211000534_ref1.txt,en,21934
211000535_ref1.txt,en,4467
211000537_ref1.txt,sv,934
211000539_ref1.txt,en,1469
211000540_ref1.txt,en,10226
211000542_ref1.txt,de,13876
211000543_ref1.txt,en,2145
211000544_ref1.txt,en,2080
211000546_ref1.txt,en,3101
211000548_ref1.txt,en,1534
211000549_ref1.txt,en,1881
211000550_ref1.txt,en,2193
211000551_ref1.txt,en,1269
211000552_ref1.txt,en,404
211000554_ref1.txt,en,18002
211000556_ref1.txt,TOO_SHORT,25
211000558_ref1.txt,en,117906
211000559_ref1.txt,en,62682
211000561_ref2.txt,fr,32555
211000562_ref1.txt,en,2145
211000565_ref1.txt,en,200275
211000566_ref1.txt,de,14380
211000568_ref1.txt,en,35199
211000569_ref1.txt,en,2145
211000569_ref2.txt,en,7457
211000572_ref1.txt,en,3026
211000573_ref1.txt,en,1305
211000575_ref1.txt,en,254246
211000578_ref1.txt,en,2145
211000581_ref1.txt,en,3550
211000583_ref1.txt,en,10988
211000584_ref1.txt,en,21295
211000586_ref1.txt,en,1764
211000587_ref1.txt,en,1783
211000588_ref1.txt,pt,3152
211000591_ref1.txt,en,1356
211000593_ref1.txt,en,301146
211000594_ref1.txt,en,1634
211000596_ref1.txt,en,1398
211000596_ref2.txt,en,70568
211000597_ref1.txt,en,7545
211000598_ref1.txt,en,67176
211000601_ref1.txt,bn,743534
211000602_ref1.txt,fr,2285
211000604_ref1.txt,en,1627
211000605_ref1.txt,en,6151
211000606_ref1.txt,en,11201
211000607_ref1.txt,en,19440
211000608_ref1.txt,en,89159
211000609_ref1.txt,en,399133
211000609_ref2.txt,en,389559
211000610_ref1.txt,en,105184
211000611_ref1.txt,en,71172
211000613_ref1.txt,en,39660
211000615_ref1.txt,en,148131
211000616_ref1.txt,en,2145
211000617_ref1.txt,es,14474
211000618_ref1.txt,en,3519
211000621_ref1.txt,it,289
211000622_ref2.txt,en,10324
211000623_ref1.txt,en,1588
211000623_ref2.txt,en,15280
211000625_ref1.txt,en,2795
211000626_ref1.txt,es,10014
211000627_ref1.txt,es,591407
211000629_ref1.txt,en,2312
211000632_ref1.txt,en,19290
211000637_ref1.txt,en,1816
211000641_ref1.txt,en,4663
211000642_ref1.txt,en,1407
211000643_ref1.txt,en,79536
211000644_ref1.txt,en,16141
211000648_ref1.txt,it,224540
211000649_ref1.txt,en,15004
211000650_ref1.txt,en,36747
211000651_ref1.txt,en,2018
211000652_ref1.txt,en,1573
211000653_ref1.txt,en,858
211000654_ref1.txt,en,1573
211000655_ref1.txt,en,1573
211000656_ref1.txt,en,1573
211000657_ref1.txt,en,1573
211000658_ref1.txt,en,1573
211000659_ref1.txt,en,1573
211000661_ref1.txt,en,107014
211000662_ref1.txt,en,64601
211000663_ref1.txt,en,51920
211000664_ref1.txt,en,5294
211000666_ref2.txt,en,1573
211000666_ref3.txt,en,1573
211000666_ref4.txt,en,1573
211000682_ref1.txt,en,73324
211000684_ref1.txt,en,1445
211000688_ref1.txt,en,9181
211000690_ref1.txt,en,829
211000691_ref1.txt,en,1305
211000694_ref1.txt,en,82390
211000694_ref2.txt,en,6538
211000695_ref1.txt,en,1258
211000695_ref2.txt,en,5743
211000698_ref1.txt,fr,2203
211000699_ref1.txt,en,1891
211000700_ref1.txt,en,1942
211000706_ref1.txt,en,3228
211000707_ref1.txt,en,1682
211000709_ref1.txt,en,16920
211000712_ref1.txt,en,7689
211000718_ref1.txt,en,6859
211000719_ref1.txt,en,4996
211000720_ref1.txt,en,103289
211000721_ref1.txt,en,3360
211000724_ref1.txt,sl,347
211000728_ref2.txt,fr,2675
211000732_ref1.txt,en,12984
211000734_ref1.txt,de,14487
211000735_ref1.txt,en,1686
211000736_ref1.txt,pt,2171
211000737_ref1.txt,de,13876
211000738_ref1.txt,en,694
211000739_ref1.txt,en,95754
211000740_ref1.txt,en,1991
211000741_ref1.txt,en,14067
211000743_ref1.txt,en,520
211000744_ref1.txt,en,11410
211000745_ref1.txt,fr,215
211000746_ref1.txt,en,26574
211000747_ref1.txt,en,8943
211000750_ref1.txt,en,882509
211000751_ref1.txt,en,4001
211000752_ref1.txt,en,520
211000753_ref1.txt,en,520
211000754_ref1.txt,en,1245
211000756_ref1.txt,en,520
211000757_ref1.txt,en,2221
211000758_ref1.txt,en,520
211000759_ref1.txt,en,3381
211000760_ref1.txt,en,118469
211000761_ref1.txt,en,520
211000762_ref1.txt,en,520
211000764_ref1.txt,en,520
211000765_ref1.txt,en,1650
211000773_ref1.txt,en,39016
211000775_ref1.txt,en,19017
211000779_ref1.txt,en,30634
211000780_ref1.txt,es,13573
211000784_ref1.txt,en,6776
211000788_ref1.txt,en,7567
211000794_ref1.txt,pt,5783
211000797_ref1.txt,en,3117
211000801_ref1.txt,en,8496
211000803_ref1.txt,en,11425
211000804_ref1.txt,tr,13521
211000805_ref1.txt,en,4451
211000807_ref1.txt,en,21729
211000811_ref1.txt,en,7216
211000812_ref1.txt,en,188294
211000812_ref2.txt,en,594694
211000814_ref1.txt,en,2016
211000815_ref1.txt,en,1437
211000816_ref1.txt,en,1573
211000819_ref1.txt,en,210976
211000820_ref1.txt,pt,4335
211000820_ref2.txt,pt,4335
211000821_ref1.txt,en,7645
211000822_ref1.txt,en,4472
211000824_ref1.txt,en,7608
211000825_ref1.txt,en,1056580
211000827_ref1.txt,TOO_SHORT,25
211000829_ref1.txt,en,6421
211000830_ref1.txt,en,13352
211000830_ref2.txt,en,127462
211000831_ref1.txt,en,9181
211000833_ref1.txt,en,24233
211000834_ref1.txt,en,745
211000835_ref1.txt,en,11096
211000836_ref1.txt,en,7645
211000837_ref1.txt,en,1573
211000838_ref1.txt,en,1573
211000838_ref2.txt,en,2377
211000839_ref1.txt,en,1573
211000840_ref1.txt,en,1573
211000842_ref1.txt,en,8956
211000843_ref1.txt,en,4406
211000844_ref1.txt,en,2310
211000845_ref1.txt,ca,75
211000846_ref1.txt,en,2145
211000847_ref1.txt,en,2145
211000848_ref1.txt,en,2145
211000849_ref1.txt,en,2145
211000850_ref1.txt,en,2145
211000852_ref1.txt,TOO_SHORT,2
211000855_ref1.txt,en,2703
211000857_ref1.txt,en,10324
211000857_ref2.txt,en,13396
211000857_ref3.txt,en,15280
211000859_ref1.txt,en,93905
211000860_ref1.txt,en,2145
211000861_ref1.txt,en,8865
211000865_ref1.txt,en,316512
211000867_ref1.txt,en,221807
211000868_ref1.txt,en,2255
211000869_ref1.txt,en,2015
211000871_ref1.txt,en,24563
211000872_ref1.txt,en,45541
211000873_ref1.txt,en,11745
211000874_ref1.txt,de,13876
211000875_ref1.txt,en,1851
211000878_ref1.txt,en,11017
211000880_ref1.txt,sk,3228
211000881_ref1.txt,en,3824
211000883_ref1.txt,en,259273
211000885_ref1.txt,en,2145
211000886_ref1.txt,en,18462
211000887_ref1.txt,en,42428
211000888_ref1.txt,en,14363
211000888_ref2.txt,en,2145
211000889_ref1.txt,en,1851
211000890_ref1.txt,en,133812
211000891_ref1.txt,en,7592
211000893_ref1.txt,en,181
211000896_ref1.txt,en,1497
211000899_ref1.txt,en,619
211000901_ref1.txt,en,43461
211000912_ref1.txt,en,5301
211000919_ref1.txt,en,2413
211000922_ref1.txt,en,301146
211000923_ref1.txt,da,11285
211000924_ref1.txt,en,14926
211000925_ref1.txt,en,4266
211000926_ref1.txt,fr,1662
211000927_ref1.txt,en,3656
211000928_ref1.txt,en,1623
211000929_ref1.txt,en,740
211000931_ref1.txt,en,2566
211000932_ref1.txt,en,2145
211000932_ref2.txt,de,33729
211000934_ref1.txt,de,19329
211000935_ref1.txt,en,1691
211000936_ref1.txt,en,7120
211000937_ref1.txt,en,2294
211000939_ref1.txt,en,1431
211000942_ref1.txt,fr,4683
211000944_ref1.txt,en,2007
211000945_ref1.txt,en,2145
211000947_ref1.txt,en,3550
211000949_ref1.txt,en,1179748
211000952_ref1.txt,en,7797
211000954_ref1.txt,en,3965
211000954_ref2.txt,fr,104620
211000956_ref1.txt,en,1687
211000958_ref1.txt,en,3386
211000959_ref1.txt,en,2145
211000962_ref1.txt,de,6847
211000963_ref1.txt,en,6606
211000964_ref1.txt,en,168345
211000966_ref1.txt,en,2905
211000968_ref1.txt,en,28587
211000970_ref1.txt,en,3467
211000971_ref1.txt,es,3787
211000974_ref1.txt,en,4167
211000975_ref1.txt,en,694
211000977_ref1.txt,en,5997
211000979_ref1.txt,en,2786
211000980_ref1.txt,en,332498
211000981_ref2.txt,en,5215
211000982_ref1.txt,en,3915
211000986_ref1.txt,en,4358
211000987_ref1.txt,de,1112
211000987_ref2.txt,de,1112
211000987_ref3.txt,de,8454
211000989_ref1.txt,en,123216
211000990_ref1.txt,TOO_SHORT,21
211000991_ref1.txt,en,284829
211000992_ref1.txt,en,1394
211000993_ref1.txt,de,6746
211000995_ref1.txt,en,18982
211000997_ref1.txt,en,768
211000998_ref1.txt,en,269914
211000999_ref1.txt,en,2378
211001000_ref1.txt,en,1946
211001001_ref1.txt,en,156708
211001002_ref1.txt,en,1777
211001005_ref1.txt,en,676759
211001006_ref1.txt,en,2417
211001007_ref1.txt,en,6523
211001009_ref1.txt,en,2697
211001013_ref1.txt,en,269914
211001015_ref1.txt,en,4363
211001017_ref1.txt,en,10646
211001020_ref1.txt,en,18729
211001021_ref1.txt,en,2145
211001022_ref1.txt,en,74128
211001023_ref1.txt,en,1611
211001025_ref1.txt,en,4845
211001026_ref1.txt,en,45652
211001030_ref1.txt,en,14073
211001031_ref1.txt,da,22831
211001032_ref1.txt,de,31846
211001034_ref1.txt,en,208558
211001035_ref1.txt,en,23840
211001036_ref1.txt,en,1194
211001039_ref1.txt,en,1627
211001041_ref1.txt,en,3574
211001042_ref1.txt,de,4732
211001043_ref1.txt,de,4732
211001044_ref1.txt,de,4732
211001045_ref1.txt,en,450249
211001047_ref1.txt,en,450249
211001049_ref1.txt,en,5997
211001051_ref1.txt,en,2810
211001054_ref1.txt,en,864506
211001058_ref1.txt,en,8615
211001059_ref1.txt,en,2575
211001060_ref1.txt,en,14705
211001061_ref1.txt,en,878055
211001063_ref1.txt,en,2144
211001068_ref1.txt,en,450249
211001072_ref1.txt,en,1647
211001073_ref1.txt,pt,14283
211001075_ref1.txt,en,1075
211001076_ref1.txt,en,4967
211001078_ref1.txt,en,1655
211001079_ref1.txt,en,7095
211001080_ref1.txt,en,2245
211001081_ref1.txt,en,4996
211001082_ref1.txt,en,50987
211001083_ref1.txt,en,15046
211001084_ref1.txt,en,4996
211001085_ref1.txt,en,2849
211001086_ref1.txt,en,404
211001088_ref1.txt,en,12263
211001088_ref2.txt,en,57132
211001088_ref3.txt,en,70546
211001090_ref1.txt,en,142723
211001092_ref1.txt,de,27568
211001092_ref2.txt,de,1593
211001094_ref1.txt,en,267396
211001095_ref1.txt,en,2145
211001103_ref1.txt,en,3658
211001104_ref1.txt,fr,43625
211001106_ref1.txt,en,1647
211001107_ref1.txt,en,8237
211001108_ref1.txt,en,1464
211001110_ref1.txt,en,84612
211001115_ref1.txt,en,1754
211001117_ref1.txt,en,7348
211001122_ref1.txt,en,2145
211001124_ref1.txt,en,122617
211001125_ref1.txt,es,310652
211001125_ref2.txt,es,135004
211001126_ref2.txt,en,4623
211001130_ref1.txt,en,39872
211001131_ref1.txt,en,33128
211001132_ref1.txt,en,1147
211001135_ref1.txt,en,3250
211001139_ref1.txt,en,202046
211001140_ref1.txt,en,926
211001141_ref1.txt,en,870
211001145_ref1.txt,en,2905
211001147_ref1.txt,en,5426
211001149_ref1.txt,de,7927
211001150_ref1.txt,en,2186
211001152_ref1.txt,en,3395
211001152_ref2.txt,en,19417
211001153_ref1.txt,en,1450
211001156_ref1.txt,en,1528
211001160_ref1.txt,en,3980
211001163_ref1.txt,de,141
211001165_ref1.txt,en,797195
211001166_ref1.txt,en,2145
211001167_ref1.txt,en,1270541
211001168_ref1.txt,en,2145
211001169_ref1.txt,en,2145
211001170_ref1.txt,fr,27135
211001171_ref1.txt,en,1370
211001172_ref1.txt,en,2080
211001173_ref1.txt,en,1207268
211001175_ref1.txt,en,4203
211001176_ref1.txt,de,6746
211001179_ref1.txt,es,891057
211001179_ref2.txt,en,450249
211001180_ref1.txt,en,4239
211001181_ref1.txt,en,1564
211001184_ref1.txt,en,450249
211001188_ref1.txt,en,107709
211001189_ref1.txt,en,5147
211001190_ref1.txt,en,374223
211001193_ref1.txt,en,4478
211001194_ref1.txt,pt,9201
211001195_ref1.txt,en,241266
211001197_ref1.txt,en,7672
211001199_ref1.txt,en,81857
211001200_ref1.txt,en,9944
211001201_ref1.txt,en,5477
211001204_ref1.txt,en,510479
211001206_ref1.txt,en,49318
211001209_ref1.txt,de,13876
211001210_ref1.txt,en,2613
211001213_ref1.txt,TOO_SHORT,21
211001217_ref1.txt,en,6980
211001218_ref1.txt,en,1529
211001219_ref1.txt,en,9291
211001220_ref1.txt,en,7270
211001221_ref1.txt,en,10962
211001222_ref1.txt,en,1320
211001223_ref1.txt,en,1305
211001224_ref1.txt,en,808
211001225_ref1.txt,en,1391
211001226_ref1.txt,en,1495
211001228_ref1.txt,en,8315
211001231_ref1.txt,pt,7452
211001232_ref1.txt,en,103348
211001232_ref2.txt,en,1573
211001233_ref1.txt,en,972
211001234_ref1.txt,en,4714
211001234_ref2.txt,en,1573
211001235_ref1.txt,en,2429
211001236_ref1.txt,en,1034
211001236_ref2.txt,en,1573
211001237_ref1.txt,en,912
211001238_ref1.txt,it,13652
211001240_ref1.txt,en,2775
211001241_ref1.txt,en,1573
211001242_ref1.txt,en,2062
211001245_ref1.txt,en,4588
211001246_ref1.txt,en,3281
211001248_ref1.txt,en,1477
211001249_ref1.txt,en,2145
211001250_ref1.txt,it,749
211001254_ref1.txt,de,4498
211001257_ref1.txt,en,2166
211001258_ref1.txt,en,1311
211001260_ref1.txt,it,3498
211001261_ref1.txt,en,1970
211001262_ref1.txt,en,102839
211001263_ref1.txt,en,142723
211001264_ref1.txt,en,1500
