policy_id,ref_num,url,error,file_type,expected_filename
211000103,1,https://chemical.chemlinked.com/epublication/japan-act-on-the-protection-of-the-ozone-layer-through-the-control-of-specified-substances-etc-and-other-measures,403 Client Error: Forbidden for url: https://chemical.chemlinked.com/epublication/japan-act-on-the-protection-of-the-ozone-layer-through-the-control-of-specified-substances-etc-and-other-measures,,211000103_ref1
211000106,1,http://www.legco.gov.hk/yr12-13/english/sec/library/1213inc04-e.pdf,404 Client Error: Not Found for url: https://www.legco.gov.hk/yr12-13/english/sec/library/1213inc04-e.pdf,,211000106_ref1
211000107,1,https://www.iea.org/policies/2222-action-concerning-government-buildings?country=France&page=3&qs=fran,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/2222-action-concerning-government-buildings?country=France&page=3&qs=fran,,211000107_ref1
211000110,1,https://www.gov.br/mma/pt-br/assuntos/combate-ao-desmatamento-queimadas-e-ordenamento-ambiental-territorial/controle-do-desmatamento-1/amazonia-ppcdam-1,404 Client Error: Not Found for url: https://www.gov.br/mma/pt-br/assuntos/combate-ao-desmatamento-queimadas-e-ordenamento-ambiental-territorial/controle-do-desmatamento-1/amazonia-ppcdam-1,,211000110_ref1
211000111,1,http://redd.mma.gov.br/en/legal-and-public-policy-framework/ppcerrado,404 Client Error: Not Found for url: https://www.gov.br/mma/pt-br/composicao/secd/redd,,211000111_ref1
211000112,1,https://www.iea.org/policies/1707-action-plan-for-energy-efficiency?country=United%20Kingdom&page=3,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/1707-action-plan-for-energy-efficiency?country=United%20Kingdom&page=3,,211000112_ref1
211000119,1,http://www.cnea.gov.ar/sites/default/files/ACTIVIDAD-NUCLEAR-CNEA.pdf,"HTTPConnectionPool(host='www.cnea.gov.ar', port=80): Max retries exceeded with url: /sites/default/files/ACTIVIDAD-NUCLEAR-CNEA.pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPConnection object at 0x00000232F21290D0>: Failed to resolve 'www.cnea.gov.ar' ([Errno 11001] getaddrinfo failed)""))",,211000119_ref1
211000120,1,https://www.iea.org/policies/2043-activities-of-deutsche-bahn?country=Germany&page=4,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/2043-activities-of-deutsche-bahn?country=Germany&page=4,,211000120_ref1
211000121,1,https://www.iea.org/policies/2710-additional-funding-charging-infrastructure?country=United%20Kingdom&qs=united,429 Client Error: Too Many Requests for url: https://www.iea.org/policies/2710-additional-funding-charging-infrastructure?country=United%20Kingdom&qs=united,,211000121_ref1
211000128,1,http://www.oe.energy.gov/storage.htm,404 Client Error: Not Found for url: https://www.energy.gov/oe/office-electricity/storage.htm,,211000128_ref1
